entry_index,exit_index,side,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,net_pnl,return_pct,bars_held,exit_reason,entry_confidence,market_regime
161,162,SHORT,2025-10-15 02:20:00,2025-10-15 02:25:00,112972.80092,113533.60217999999,0.018493154220555093,-10.370984188261483,-12.04651132605009,-0.0049640378518818525,1,REGIME_EXIT,0.8115873078992583,RANGING
192,196,SHORT,2025-10-15 04:55:00,2025-10-15 05:15:00,112331.22926,112540.90367999999,0.019504664018377374,-4.089629115348062,-5.844051275384299,-0.001866572825573615,4,REGIME_EXIT,0.8670165113504537,RANGING
268,269,LONG,2025-10-15 11:15:00,2025-10-15 11:20:00,112222.44,111956.70418000002,0.0192525247192853,-5.116085443349302,-6.842491249298772,-0.0023679383552878295,1,REGIME_EXIT,0.7870611346159524,RANGING
379,380,LONG,2025-10-15 20:30:00,2025-10-15 20:35:00,111009.99756,111077.78,0.018761079054663093,1.2716717153578716,-0.39497082539316564,0.0006105976172403711,1,REGIME_EXIT,0.9485608536831625,RANGING
431,433,LONG,2025-10-16 00:50:00,2025-10-16 01:00:00,110439.0834,110642.71703000001,0.02070250968538041,4.215727197344402,2.384947951479037,0.0018438547634669266,2,TAKE_PROFIT,0.7877798280208546,RANGING
436,441,SHORT,2025-10-16 01:15:00,2025-10-16 01:40:00,110933.20891999999,110995.1946,0.019719306060165708,-1.222314595267739,-2.9728242402496736,-0.0005587657708947532,5,REGIME_EXIT,0.8641177937214236,RANGING
469,470,LONG,2025-10-16 04:00:00,2025-10-16 04:05:00,111299.7555,111425.840374,0.02162445927941713,2.7265172235636,0.7999889921791081,0.0011328405299147976,1,TAKE_PROFIT,0.7963123570114699,RANGING
499,502,SHORT,2025-10-16 06:30:00,2025-10-16 06:45:00,111231.14932,111411.37782000001,0.021189168434210218,-3.8188920431453104,-5.7059360464203825,-0.0016203060123159752,3,REGIME_EXIT,0.7994508903292654,RANGING
531,534,SHORT,2025-10-16 09:10:00,2025-10-16 09:25:00,110870.42148,110687.38805099997,0.021584856824801477,3.950750359118155,2.0378329202608465,0.0016508770017894217,3,TAKE_PROFIT,0.8657642122216128,RANGING
559,564,LONG,2025-10-16 11:30:00,2025-10-16 11:55:00,111090.61368,111271.14132,0.01560712259846951,2.817517009892372,1.4293461412940356,0.0016250485438852268,5,TAKE_PROFIT,0.800131554111152,RANGING
567,570,SHORT,2025-10-16 12:10:00,2025-10-16 12:25:00,111595.07652,111358.50224699998,0.015281248392438667,3.615150228973905,2.2523466221252386,0.0021199346815056084,3,TAKE_PROFIT,0.7962247159906315,RANGING
581,584,LONG,2025-10-16 13:20:00,2025-10-16 13:35:00,111072.20999999999,111373.065931,0.018828120665777725,5.664551771883138,3.9892611731787024,0.0027086517050485697,3,TAKE_PROFIT,0.8627648673672744,RANGING
