entry_index,exit_index,side,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,net_pnl,return_pct,bars_held,exit_reason,entry_confidence,market_regime
150,154,SHORT,2025-04-24 10:45:00,2025-04-24 11:05:00,92565.88312,92397.14573399999,0.06579087510532368,11.101380287925316,6.233828475750959,0.0018228896037351173,4,TAKE_PROFIT,0.8336969945893424,RANGING
216,219,SHORT,2025-04-24 16:15:00,2025-04-24 16:30:00,93397.71672,93488.694,0.0543621845704462,-4.945723687077513,-9.009545108385055,-0.0009740846264234716,3,REGIME_EXIT,0.8953042369981535,RANGING
280,286,LONG,2025-04-24 21:35:00,2025-04-24 22:05:00,93188.43396,93357.79970124186,0.06796195213412896,11.51042639944116,6.4392079182862165,0.0018174545278287111,6,TAKE_PROFIT,0.8351872351428575,RANGING
359,360,SHORT,2025-04-25 04:10:00,2025-04-25 04:15:00,93371.22202,93378.67199999999,0.06974091890197429,-0.5195684510006552,-5.729212136521101,-7.978882399541201e-05,1,REGIME_EXIT,0.8210851057311735,RANGING
388,392,SHORT,2025-04-25 06:35:00,2025-04-25 06:55:00,93446.8069,93509.59817999999,0.08719209520197899,-5.474903263613279,-11.995351531755322,-0.000671946769322841,4,REGIME_EXIT,0.8738016537940104,RANGING
424,425,SHORT,2025-04-25 09:35:00,2025-04-25 09:40:00,93773.94146,93682.63277999999,0.08960590189869076,8.181796622580423,1.46291046193479,0.000973710591432961,1,REGIME_EXIT,0.9033205631618416,RANGING
549,551,SHORT,2025-04-25 20:00:00,2025-04-25 20:10:00,95210.25414,95033.35287,0.05478164514837144,9.690942599436362,5.522199491049142,0.0018580064888796663,2,TAKE_PROFIT,0.8032238874134231,RANGING
558,562,LONG,2025-04-25 20:45:00,2025-04-25 21:05:00,94745.34528,94933.80231515733,0.06229955035607286,11.74078855174057,7.014018308899978,0.0019890901721914627,4,TAKE_PROFIT,0.8921785478728927,RANGING
566,578,LONG,2025-04-25 21:25:00,2025-04-25 22:25:00,94666.9296,94755.94502,0.06799015923298768,6.0521725799910095,0.9006160168773842,0.0009403011207410712,12,TIME_EXIT,0.8191253244602176,RANGING
606,607,LONG,2025-04-26 00:45:00,2025-04-26 00:50:00,94533.50292,94655.09667058337,0.08635872678532329,10.500681485432143,3.9654468522556963,0.001286250343291222,1,TAKE_PROFIT,0.8043855251826281,RANGING
608,612,SHORT,2025-04-26 00:55:00,2025-04-26 01:15:00,94876.12098,94973.991,0.07407012335363644,-7.2492444540219445,-12.87413293924606,-0.0010315558750617416,4,REGIME_EXIT,0.904636508991871,RANGING
657,662,LONG,2025-04-26 05:00:00,2025-04-26 05:25:00,94500.59633999999,94309.04624872706,0.11572468253312154,-22.167073501750632,-30.907047880859665,-0.0020269723016748224,5,STOP_LOSS,0.8134974579122684,RANGING
672,684,SHORT,2025-04-26 06:15:00,2025-04-26 07:15:00,94634.46931999999,94709.33807999999,0.10379766437091438,-7.7712024223462866,-15.632580410832787,-0.0007911362586800584,12,TIME_EXIT,0.8117062165662864,RANGING
685,690,SHORT,2025-04-26 07:20:00,2025-04-26 07:45:00,94671.46192,94622.990814,0.12246042687790407,5.935792332003799,-3.3366394629661515,0.0005119927908259899,5,TAKE_PROFIT,0.8114876630086928,RANGING
693,695,LONG,2025-04-26 08:00:00,2025-04-26 08:10:00,94538.904,94354.46985974682,0.12002999209024492,-22.137628395759332,-31.206776463873368,-0.0019508808802476893,2,STOP_LOSS,0.8151120329653664,RANGING
759,761,LONG,2025-04-26 13:30:00,2025-04-26 13:40:00,94043.805,93925.61112,0.10310674986165086,-12.186586820337114,-19.938953048147276,-0.001256796021811236,2,REGIME_EXIT,0.8714187820818878,RANGING
797,798,LONG,2025-04-26 16:40:00,2025-04-26 16:45:00,94161.92862,94232.859658,0.10893818458876511,7.7270985107161865,-0.4822559776798494,0.0007532878631473719,1,TAKE_PROFIT,0.8422596252542364,RANGING
824,826,LONG,2025-04-26 18:55:00,2025-04-26 19:05:00,94128.92202,94045.08722,0.1299127218548732,-10.891207054158523,-20.669686143243506,-0.0008906380547116447,2,REGIME_EXIT,0.9577696347362123,RANGING
941,942,LONG,2025-04-27 04:40:00,2025-04-27 04:45:00,94082.61276,94023.29158,0.09469912133257802,-5.617663622411606,-12.743049165798796,-0.0006305222427370756,1,REGIME_EXIT,0.80745705529957,RANGING
973,985,SHORT,2025-04-27 07:20:00,2025-04-27 08:20:00,94024.09142,94149.8262,0.0981672455493624,-12.343037022354949,-19.73204309315016,-0.0013372613135749338,12,TIME_EXIT,0.8011187824394125,RANGING
987,989,SHORT,2025-04-27 08:30:00,2025-04-27 08:40:00,94148.1666,94237.04363999999,0.10377268984697899,-9.223009506436728,-17.042705504034107,-0.0009440124349696272,2,REGIME_EXIT,0.8374559511385286,RANGING
1010,1013,LONG,2025-04-27 10:25:00,2025-04-27 10:40:00,94034.8032,93965.60312,0.1274254258907445,-8.817849665672961,-18.400262402856566,-0.0007358985997218003,3,REGIME_EXIT,0.8058885469409874,RANGING
1031,1034,LONG,2025-04-27 12:10:00,2025-04-27 12:25:00,93834.56316,93717.65272,0.11716029091241836,-13.697261161099645,-22.48673003060744,-0.0012459208639428478,3,REGIME_EXIT,0.8510090784412824,RANGING
1084,1085,LONG,2025-04-27 16:35:00,2025-04-27 16:40:00,93744.7452,93815.543138,0.10645164904130072,7.536557248822574,-0.44988354647420437,0.0007552203363393299,1,TAKE_PROFIT,0.8054393900309443,RANGING
1091,1092,SHORT,2025-04-27 17:10:00,2025-04-27 17:15:00,93911.214,94142.19709984896,0.0921848977329735,-21.29315343762055,-28.22742722585111,-0.002459590181093269,1,STOP_LOSS,0.8034684738374832,RANGING
